0	1	10	11	12	13	14	2	3	4	5	6	7	8	9
Bpifb1	Mok	Fam167a	Chil1	Rnase4	Kcne2	Sftpa1	Casp7	Arfgef3	Cenpw	Enkur	Bbof1	Slc16a11	Krt14	Soat1
Gm31160	Dnah6	Gm38165	Wdr19	Slc51b	Dennd3	Ces1f	Ifit3	C2cd5	Clec2e	Enkd1	Tpm2	Bex4	Rnaseh2c	Fmo2
A930003A15Rik	Gm16537	Emp1	Mapre3	Rflnb	Melk	Nebl	Nqo1	Epha7	Sectm1a	Cdhr3	Steap4	9530034E10Rik	Znhit1	S100a10
Arhgap11a	Efcab12	Nkd1	Knstrn	Cgnl1	Scgb1c1	Tctn2	Fbln5	Fcor	Scn3b	Stk33	Ifi202b	Ahsa1	Klhdc9	Msln
Acyp1	Wdr95	Plxna4	3110082I17Rik	Tctn2	Csrp2	Cfap100	Ddx60	Sema5a	Ifi203	Vwa3a	Bola1	Serpinb10	Racgap1	Npnt
Cfap77	Lrrc18	Trp63	Kcnq1ot1	Cd320	Kif11	Fam189a2	Psip1	Gm16006	Ppp1r36	Efcab12	Il1rn	Hspb11	Gclc	Slc2a12
Cklf	Armc3	Dennd3	Nxt1	Ndrg1	Col6a2	Gpn2	Sult1b1	Ifi27l2a	Cryaa	Lrrc71	Krt20	ENSMUSG00000095041	Kcnq1ot1	Dapl1
Tnfaip2	AU021092	Igfbp5	Mcee	Isyna1	Cklf	4930523C07Rik	Ces1f	Creg1	Hoxaas2	Chst11	Cenpw	Cops5	Reg3g	4930523C07Rik
Krt16	Scn5a	Efcab1	Baiap2	Akr7a5	Myo15	Itgb6	Slc13a2	S100a6	9630028I04Rik	Dync2i1	Psip1	Bicc1	Ifit1bl1	Cftr
Ecm1	Drc3	Cep290	Ereg	Agrp	Cfap53	Tmem243	Akr1c18	Wfdc17	Ndnf	Lratd2	4931406C07Rik	Mad2l1	Tm6sf2	Tff2
Vpreb3	1700088E04Rik	Cmah	Adprm	Acot13	Tgfb2	Rptoros	Sult1c2	2010204K13Rik	Dmkn	Catip	Ltf	Selenop	Gipc2	Hyls1
Retreg1	Esco2	Mid1ip1	Kifap3	Med31	Psmc3ip	Gm53012	Tmem212	Rnase4	Synpo	Fam47e	Cyp1b1	Col17a1	9530053A07Rik	Iqck
Fmo2	Dnaaf1	Itgb6	Gas8	Dpy30	Slfn9	Nphp1	Ptgs2	Agrp	Cklf	Cep164	Psmc3ip	Rnase4	Cep135	Stbd1
Dpy30	Ccdc39	Apoc1	Nelfe	Col18a1	Lgals3bp	Ccdc34	Fbxo16	St8sia6	Calml3	Efhc1	Gm15728	Cfap20	Hoxaas2	4930404N11Rik
Cxcl5	Arhgap18	Pmf1	Arc	Depp1	Hdc	Cfap91	Npnt	Rnf227	Serpinb11	Adgb	Pam16	Tacc3	Ifi203	Chad
Ero1a	Mapk15	Ager	Ckap2l	Pmaip1	Cntln	Fbxo36	Myo15	Enpep	Gm33050	Catsperd	Lox	Fam118a	Prr29	Id3
Aldh3a1	Las1l	Bcl2l12	Tnfrsf9	Gm26877	Sftpb	Dynlt2b	Dynlt2b	Ttc36	Pon1	Odf3b	Cspp1	Timp1	Ccdc173	Cbr3
Trim10	Ampd1	Ppp1r35	Ccdc74a	Sass6	Ccdc189	Ero1a	Smc4	Pttg1	Gas6	Odad3	Stox1	Cdc14a	Srd5a1	Kctd14
Art4	1700024G13Rik	Nxt1	Cyp1b1	Spef1	Dmbt1	Sema5a	Smtn	Sult1d1	Adam8	Smim24	Dcaf17	Car6	Creg1	Scgb1a1
Ndufaf3	Cfap100	Adgrg6	Abcg1	Ifit1bl1	4930523C07Rik	Catip	Nelfe	Prdx5	Sprr2f	Fhit	Gm7361	Casp7	Fam166b	Gm15728
Sprr2b	Med31	Prc1	Car2	Pttg1	1500009L16Rik	Pitx1	Abr	Slc16a12	Ccdc170	Dnaaf6b	Gipc2	Pclaf	Hoxaas3	Afp
Kbtbd11	Chst5	Gm8113	Arhgap11a	Trim7	Hbegf	Cavin2	Slc7a11	Rsad2	Crip1	Cfap206	Spc24	Tnnt2	Sptssb	Mme
Cdca3	Serpinb11	Snhg11	Dram1	Ifit1	Sparc	Gadd45g	Mcm6	Glrx	S100a6	4921504E06Rik	B3galt2	Kif4	Chchd10	Chchd6
Inhba	Ccdc148	Scara3	Ift43	Cklf	Spc25	Josd2	Cenpj	Cetn2	Smpdl3a	Ankrd42	Miip	Dennd3	Usp18	3110082I17Rik
Josd2	Dnah2	Tspan6	Smim5	Cavin2	E2f7	Slc23a2	Cd320	Gm43085	Adssl1	Gstt2	Ddx60	Sugt1	Ero1a	Creg1
Cep63	Hydin	Lyz1	Gm47547	Flrt2	Ccdc34	Rad51	Odf2l	Plaat3	Dapl1	Dnaaf1	Rap2c	Gm7361	Hmgb2	Ifit1bl1
Hspb11	Atf3	Lrrk2	1700012B09Rik	Cryaa	Gm35611	Arhgef28	Chchd10	Tmem231	Cmbl	Poc1a	Samd5	Rrm2	Tmem243	Cald1
Tmem107	Ropn1l	Med24	Syne1	Cfap43	Emp2	Hmgb2	Pigr	Calm2	Bmx	Phf10	Gm16006	Fam166b	Ly6m	Fkbp11
