0	1	10	11	12	13	14	2	3	4	5	6	7	8	9
Epp13	Snrnp25	Dxo	Kif1a	Rorb	Ckap2	Epp13	Fstl1	Itga9	Drc1	Gm31182	Rorb	Mxra7	Ltf	Cavin2
Ereg	Ccdc65	Dync2i2	Frzb	Col1a2	Cenpf	Epha7	Atf3	Pygl	Cfap69	Hyls1	Trp63	Lig1	Pcsk5	Scara5
Erich2	Drc1	Dync2i1	G0s2	Col5a2	Tacc3	Dync2li1	Zeb2	Dennd3	Nme5	Gm11517	Col1a2	Thbs1	Car2	Pcsk5
Erich3	Dnai4	Dynlt4	Loxl1	Igfbp7	Nnat	Drc7	Cgnl1	Gpam	Dnah6	Wdr95	Ccdc3	Bgn	Sulf1	Pygl
Cpn1	5430425K12Rik	Znhit1	Thbs2	Mgp	Cdca2	Dspp	Inhbb	Il33	Odf2l	Bphl	Col5a2	Cfh	Fam20c	Sulf1
Erp27	Ift74	E2f7	Pdgfrb	Fbn1	Plk1	Dthd1	Cd63	Creg1	Tmem231	Cfap45	Col17a1	Abca1	Aebp1	Fam20c
Errfi1	Agrp	E2f8	A730049H05Rik	Scgb1a1	Nusap1	Dtl	Fgl1	Cpm	1110032A03Rik	Rab36	Akr1c18	Fkbp7	H2ac23	Aebp1
Esam	Rpgr	Eno3	Npr3	Tnc	Mis18bp1	ENSMUSG00000121112	Gpm6b	Sftpc	Col5a2	Dnali1	Tnfaip2	Ndnf	Lgals1	H2ac23
Esco2	Gm15402	Eno4	Il1rl1	Fstl1	Mad2l1	Emp3	Steap4	Gclc	Pifo	Ift81	Igfbp7	B430010I23Rik	Igfbp5	Lgals1
Esm1	Slf1	ENSMUSG00000095041	Plac8	Zeb2	Gpam	Dynlrb2	Lif	Panct2	1700016K19Rik	Ak9	Hlf	Ptgs2	Col16a1	Igfbp5
Cpm	Abhd3	ENSMUSG00000120019	Adamts5	Gpm6b	Icam1	Efcab2	St8sia6	Emp2	Ubxn10	Enkur	Lyar	Lox	Fgf2	Col16a1
Etv5	S100a6	ENSMUSG00000120266	Selenom	Dcn	Cdc20	Enpep	Ecm1	Lyz1	Ccdc181	Sec14l3	Mgp	Spon1	9130015A21Rik	Fgf2
Eva1b	Med9os	ENSMUSG00000120458	Maoa	Mylpf	Kif23	Efhb	Sprr2b	Col4a4	BC005624	Ak7	Fbn1	Nr4a1	Eln	Nectin3
F2	Ampd1	ENSMUSG00000120602	Septin4	Col3a1	Il33	Efhc1	Anxa10	Bicc1	Odad1	Odad1	Scgb1a1	Ero1a	Grem1	Eln
F5	Akap14	ENSMUSG00000120992	Ptprn	Col18a1	Mcm6	Eno4	Dcn	Filip1	Kif3a	Efcab1	Cdo1	Tnc	Ereg	Grem1
Fads3	Cfap298	ENSMUSG00000121112	Eng	Neb	Ccn1	Eno3	Tnfaip2	Acoxl	Fbxo36	Dync2i2	Rflnb	Hck	Mxra7	Gna14
Fam111a	Ankrd42	ENSMUSG00000121162	Aqp1	Serpine2	Rnf144a	Egfl6	Sult1c2	Rgs10	Rpgrip1l	Cfap52	Cmah	Mamdc2	Abi3bp	Ereg
ENSMUSG00000121162	Dync2h1	ENSMUSG00000121164	Angpt2	Nrg1	Kif20b	Enkur	Adgrg6	Rnf144a	Cfap53	Mok	Fstl1	Tgfb3	Thbs1	Mxra7
ENSMUSG00000121112	Ppp1r42	Epha7	Slc43a3	Clic5	Racgap1	Egr3	Col15a1	Cald1	Cfap206	Kifap3	Mndal	Mmd	Bgn	Abi3bp
ENSMUSG00000120992	Efhb	Epp13	Ptgis	Lrp1	Cdkn3	Enkd1	Col3a1	Gas6	Cfap65	Dpcd	Zeb2	Uhrf1	Cldn10	Thbs1
Eno3	Kif3a	Ereg	Rasl11b	Tmem45b	Knstrn	Eif2b2	Edn2	Fbln5	Fhad1	Gipc2	Krt14	Sema3a	Tnnt2	Bgn
Eln	Cspp1	Erich2	Col27a1	Timp1	Prc1	Elmod1	Col18a1	Plat	Ccdc180	Retreg1	Anxa10	Mylk	Cfh	Cfh
Elof1	Fam183b	Erich3	Adcy7	Slc39a14	Kif11	Eng	Serpine2	Sftpa1	Igfbp7	Ccdc57	Clca3a2	Nr4a2	Abca1	Abca1
Emp1	Fsd1l	Ero1a	Fxyd6	Serping1	Myct1	Eln	Tmprss11d	Sparcl1	BC051019	Lrrc34	Gm41715	Sparc	Fkbp7	Fkbp7
Emp2	Ccdc78	Erp27	Hgf	Sema5a	Lyz1	Elof1	Nrg1	Acot7	Rsph1	Morn2	Gpm6b	Sprr2f	Ndnf	Ndnf
Emp3	Dynlt2b	Esam	Flnc	Clca1	H2ac23	Emp1	Calml3	Gprc5a	Mapk8ip1	Elof1	Ecm1	Ifit2	B430010I23Rik	Ptgs2
Eng	AI847159	Enkur	Lum	Pkd2	Pmf1	ENSMUSG00000095041	Clic5	Meg3	Mgp	Ttc12	Sprr2b	Clmp	Ptgs2	Lox
Enkd1	ENSMUSG00000121112	Enkd1	Acta2	Dtx1	Gm19990	Efcab12	Chad	Itgb6	Lbp	Rad51ap1	Dcn	Igf1	Lox	Spon1
Enkur	Kcnmb1	Eng	Nfatc4	Efcab11	ENSMUSG00000120992	Dynlt2b	Lrp1	Fam189a2	Cetn2	Ankrd45	Serpinb2	Synpr	Spon1	Nr4a1
Eno4	Fbxo36	Efcab2	Fxyd5	Efcab12	Myl1	Efcab11	Gstm1	Hbegf	Elof1	Cfap65	Adgrg6	Cavin2	Nr4a1	Tnc
ENSMUSG00000120602	Cfap206	Ecm1	Ptger3	Dthd1	Sparcl1	Dynlt4	Tmem45b	Myl1	Dmkn	Shisa8	Cxcl5	Vcam1	Irf7	Hck
Enpep	Fam161b	Ecrg4	Lama4	Egfl6	Stc1	Dyrk3	Timp1	Bst2	Fbn1	Efhc1	Col3a1	Tk1	Tnc	Mamdc2
ENSMUSG00000095041	Akr1b8	Edn2	Tspan6	Efcab2	Pi15	E2f7	Cldn22	Mrc2	Scgb1a1	Smim24	Col18a1	Flrt2	Hck	Tgfb3
ENSMUSG00000120019	Dnah3	Ednrb	Mdk	Egr3	Dclk1	E2f8	Slc39a14	St8sia6	Cep290	Rpgrip1l	Serpine2	Ccdc80	Mamdc2	Ces1f
Creg1	Ppp1r32	Efcab1	Ctsk	Eif2b2	Rorb	Emp2	Krt20	Ivl	Snrnp25	Tacc3	Nrg1	P2ry14	Reg3g	Mmd
Crabp2	5330413P13Rik	Efcab10	Nwd2	Dusp18	Col1a2	Ecrg4	Ifi27	Gkn3	Rsph3a	Dnai2	Clic5	Gprc5a	Muc21	Trp63
ENSMUSG00000120266	Ccdc40	Efcab11	Gpnmb	Efhc1	Col5a2	Edn1	Mylpf	Lrg1	Dnajc15	Casc1	Mt2	Dpysl3	Tgfb3	Sema3a
ENSMUSG00000120458	Gtsf1l	Dpysl3	Gpx3	Dtl	Igfbp7	ENSMUSG00000120602	Serping1	Nkd1	Saxo2	Hsph1	Lrp1	Itgb8	Il1rn	Mylk
Cpxm1	Gng13	Efhb	Col4a2	Efhb	Mgp	Edn2	Sema5a	Atp6v1c2	Agr3	Ifit1bl1	Tmem45b	Nid1	Mmd	Nr4a2
Elmod1	Cfap91	Emp3	Rhoj	Dynlrb2	Fbn1	Ednrb	Fn1	Ndnf	Ccdc191	Ccdc173	Upk3a	Ptprz1	Rsad2	Sparc
Dtx1	Cfap69	Efhc1	Tgfb2	Efcab10	Scgb1a1	Efcab1	Neb	Ly6i	Riiad1	Mapk8ip1	Timp1	Rrm2	Sema3a	Sprr2f
Csrp2	Cep290	Egfl6	Col6a3	Dync2i1	Fstl1	ENSMUSG00000120458	Clca1	Stc1	Gpx4	Cfap91	Aldh3a1	Loxl2	Mylk	Ifit2
Dgat2	Nudt4	Egr3	Dio2	Dynlt4	Zeb2	ENSMUSG00000120266	Npnt	Pi15	Fstl1	Ccdc146	Tnip3	Mrc2	Nr4a2	Clmp
Cxcl2	Ctxn1	Eif2b2	Art4	Dync2li1	Gpm6b	Efcab10	Cyp1b1	Tnfsf9	Cep126	Clspn	Slc39a14	Panct2	Sparc	Igf1
Ddo	Tm4sf1	Elmod1	Emp3	Dyrk3	Ecm1	ENSMUSG00000120019	Pkd2	Serpinb9	Zeb2	Lgals3	Krt20	Id3	Cyp2a5	Synpr
Ddr2	Fam166b	Eln	Dab2	E2f7	Sprr2b	ENSMUSG00000120992	Ccr2	Dclk1	Mycbp	Iqck	Fmo3	Ltbp2	Sprr2f	Vcam1
Ddx60	Cds1	Elof1	Vim	Dync2i2	Dcn	Dnah2	Col5a1	Tnfrsf9	Bphl	Hdc	4930523C07Rik	Isg15	Ero1a	Flrt2
Defb1	Fam229b	Emp1	Inhba	E2f8	Adgrg6	Dnajc15	Plpp3	Myct1	Btg4	Nek1	Mylpf	Srd5a1	Hpgds	Pon1
Dennd3	Dnai3	Efcab12	C1qtnf7	Elmod1	Col3a1	Ctsk	Dpysl3	Phgr1	Dpcd	Cfap206	Serping1	Tmem45a	Samd5	Ccdc80
Depdc1a	ENSMUSG00000120602	Dnah9	Pdgfra	Ecrg4	Col18a1	Cwh43	Arg1	Arl4c	Gpm6b	Paqr5	Sema5a	Pdlim3	Clmp	P2ry14
Cxcl15	Hsph1	Dpy30	Tnfsf8	Efcab1	Serpine2	Cxcl1	Fgfr1	Akap5	Fam81b	Clec12a	Fmo2	Colec12	Igf1	Gprc5a
Deup1	Ccdc121	D430036J16Rik	Fmo2	2410004P03Rik	Nrg1	Cxcl13	Bst2	Sox9	Dydc2	Kif3a	Cwh43	Ndrg1	Synpr	Itgb8
Dgcr6	Rab36	Cyp2a5	Lix1l	Dync2h1	Clic5	Cxcl14	Lhfp	Ramp1	Ecm1	C230072F16Rik	A2ml1	Clspn	Vcam1	Nid1
Dtl	Kbtbd11	Cyp2b10	Fgf10	Dydc2	Lrp1	Cxcl15	Itga2	Akr1c19	Sprr2b	Mdh1b	Neb	Lyz1	Flrt2	Ero1a
Dhfr	Ccdc60	Cyp2d10	Wfdc17	Dxo	Tmem45b	Cxcl2	Ifi44	Rorb	Lgals3	Hoatz	Clca1	Pcnt	Ccdc80	Loxl2
Dhrs9	Hal	Cyp2e1	Csgalnact1	Dynlt2b	Timp1	Cxcl5	Neil2	Col1a2	Dcn	Dync2i1	Pkd2	Pak3	P2ry14	Mrc2
Dhx58os	Dnah12	Cyp2s1	Angpt1	Edn2	Slc39a14	Cybb	Scara5	Itih4	Ulk4	Wdr93	Krt23	Adh1	Gprc5a	Panct2
Dio1	Ttc12	Cyp4a12b	Tac1	Ednrb	Krt20	Cybrd1	Pcsk5	Cldn3	Arhgdig	Ccdc78	St8sia6	Bcl2l12	Dpysl3	Id3
Dio2	Odad3	Cyp4b1	Col6a2	Adam8	Mylpf	Cyp1b1	Sulf1	Col5a2	Plaat3	Plk4	Col5a1	Emp2	Itgb8	Ltbp2
